.imp,year,race_ethn,age,var,pop,m,q,p,lx,d,L,t,e,c,s,se,c_mn,se_tot,c_upr,c_lwr
1,2004,Asian/PI,13,3995,1656118,0.002412267724884338,0.002409361712136459,0.9975906382878635,96458.81453481103,232.40417453824193,96342.6124475419,574971.0281685255,5.960793017635773,0.035411854651889785,0.9645881453481102,1.5956007984119103e-4,0.035426247465416914,1.6116557588732573e-4,0.03574213199415607,0.035110362936677755
1,2004,Asian/PI,14,3983,1656834,0.002403982535365643,0.0024010964384138054,0.9975989035615862,96226.41036027278,231.04889119739528,96110.88591467409,478628.4157209837,4.97398181984544,0.03773589639727215,0.9622641036027278,1.5917564189403625e-4,0.03773677454060831,1.6110843171097036e-4,0.03805254706676181,0.03742100201445481
1,2004,Asian/PI,15,3796,1673348,0.002268506013094706,0.0022659358685231897,0.9977340641314768,95995.36146907539,217.5193327646266,95886.60180269307,382517.5298063095,3.9847501374275915,0.04004638530924609,0.9599536146907539,1.5879344582720226e-4,0.04004123568786315,1.6054038463284438e-4,0.040355894841743525,0.039726576533982774
1,2004,Asian/PI,16,3559,1689415,0.002106646383511452,0.002104429738862088,0.997895570261138,95777.84213631076,201.55773931568547,95677.06326665293,286630.92800361646,2.992664290720646,0.042221578636892354,0.9577784213631076,1.5843363006261602e-4,0.04220327590648174,1.604065141972172e-4,0.04251767267430829,0.041888879138655195
1,2004,Asian/PI,17,2319,1702317,0.0013622609654958507,0.0013613337196022371,0.9986386662803978,95576.28439699508,132.46937135102053,95510.04971131956,190953.86473696347,1.9979209899371968,0.044237156030049185,0.9557628439699508,1.5810021761987638e-4,0.044215497405755436,1.5949679202484528e-4,0.04452811111812413,0.04390288369338674
1,2004,Asian/PI,18,44,1780877,2.470692810340074e-5,2.4706622891023016e-5,0.999975293377109,95443.81502564406,-0,95443.81502564406,95443.81502564406,1,0.04556184974355948,0.9544381502564405,1.5788108965763447e-4,0.045536710252053726,1.5940508697798956e-4,0.045849144222530586,0.04522427628157687
1,2012,Asian/PI,0,6295,1203654,0.0052299082626734925,0.005216267961218146,0.9947837320387819,100000,521.6267961218109,99739.18660193909,1857350.8811681573,18.573508811681574,0,1,0,0,0,0,0
1,2012,Asian/PI,1,3089,1220269,0.002531409058166683,0.0025282090924678767,0.9974717909075321,99478.37320387819,251.5021276379557,99352.62214005922,1757611.6945662182,17.66827942555958,0.005216267961218102,0.9947837320387819,1.735965023601035e-4,0.005251309609839616,1.758260455046624e-4,0.005595928659028754,0.004906690560650478
1,2012,Asian/PI,2,2865,1229637,0.0023299559138184683,0.0023272447250134946,0.9976727552749866,99226.87107624023,230.92521229176782,99111.40847009435,1658259.0724261592,16.711794440762404,0.007731289237597694,0.9922687107624023,1.7315761410441606e-4,0.0077756744085734075,1.7625632034223566e-4,0.00812113679644419,0.007430212020702626
1,2012,Asian/PI,3,2822,1237500,0.0022804040404040406,0.002277806880397381,0.9977221931196026,98995.94586394847,225.49364662035077,98883.19904063828,1559147.6639560647,15.749611262857405,0.010040541360515354,0.9899594586394846,1.7275463396039563e-4,0.010109456961359741,1.787269872097513e-4,0.010459761856290854,0.009759152066428628
1,2012,Asian/PI,4,2771,1244856,0.0022259602717101417,0.0022234855764312134,0.9977765144235687,98770.45221732811,219.6146758828254,98660.6448793867,1460264.4649154264,14.784426234096356,0.012295477826718804,0.9877045221732812,1.7236113226654014e-4,0.012379240064129115,1.807951828746223e-4,0.012733598622563375,0.012024881505694855
1,2012,Asian/PI,5,2953,1254137,0.0023546071920372337,0.00235183836427372,0.9976481616357262,98550.83754144529,231.77564056127449,98434.94972116465,1361603.8200360397,13.816258227774279,0.014491624585547092,0.9855083754144529,1.7197788977500812e-4,0.014559368731495815,1.78765204025334e-4,0.014909748531385469,0.01420898893160616
1,2012,Asian/PI,6,2815,1264051,0.002226967108130922,0.0022244901749049854,0.997775509825095,98319.06190088401,218.70978720439598,98209.70700728182,1263168.870314875,12.847649742511603,0.016809380991159806,0.9831906190088402,1.7157342557602842e-4,0.01687194876131821,1.7865703390578053e-4,0.01722211654777354,0.01652178097486288
1,2012,Asian/PI,7,2689,1269020,0.002118957936045137,0.002116715320681584,0.9978832846793184,98100.35211367962,207.65051828327705,97996.52685453798,1164959.1633075932,11.875178204840973,0.01899647886320377,0.9810035211367962,1.7119176217655975e-4,0.019056889930117428,1.7720112307625387e-4,0.019404204131346886,0.01870957572888797
1,2012,Asian/PI,8,2374,1273469,0.0018641992855735004,0.001862463284211583,0.9981375367157884,97892.70159539634,182.32156251370907,97801.54081413949,1066962.6364530553,10.899307293233717,0.021072984046036636,0.9789270159539634,1.7082939795078612e-4,0.021124936593187215,1.7651224051559817e-4,0.021470900584597788,0.020778972601776642
